Order	Order Type	Description	Revision	Main work center	Sort field	Description of functional location
101193084	PM01	6M Change Out Transmition V-Belt		5		Drive System
101193085	PM01	6M Change Out Transmition V-Belt		5		Drive System
101193086	PM01	6M Change Out Transmition V-Belt		5		Drive System
101193087	PM01	6M Change Out Transmition V-Belt		5		Drive System
101193088	PM01	6M Change Out Transmition V-Belt		5		Drive System
101193089	PM01	6M Change Out Transmition V-Belt		5		Drive System
101193090	PM01	6M Change Out Transmition V-Belt		5		Drive System
101193091	PM01	6M Change Out Transmition V-Belt		5		Drive System
101193092	PM01	6M Change Out Transmition V-Belt		5		Drive System
101193093	PM01	6M Change Out Transmition V-Belt		5		Drive System
101193094	PM01	6M Change Out Transmition V-Belt		5		Drive System
101193095	PM01	6M Change Out Transmition V-Belt		5		Drive System
101197886	PM01	1Y C/O Throat-Liners-Impeller	2024W48	5	0330-PPS-0145	Pump Transfer Cleaner Scavenger 1
101197970	PM01	3M Clean/Change Filter Dust System	PROC-P	6	0370-DCB-0004	Dust Collector Components
101197980	PM01	1Y C/O Dart Valve Cell		5	0330-FTR-0012	Dart Valves
101197982	PM01	4Y C/O Draft Tube Flotation Cell	OUTM2601	5	0330-FTR-0025	Draft Tube
101197986	PM01	4Y C/O Mech Cone Velocity	OUTM2505	5	0330-FTR-0014	Cone Velocity
101197987	PM01	4Y C/O Mech Cone Velocity	OUTM2603	5	0330-FTR-0015	Cone Velocity
101197988	PM01	4Y C/O Mech Cone Velocity	OUTM2508	5	0330-FTR-0025	Cone Velocity
101198704	PM01	2M Chck & Regul Pump Moly	PROC-P	6	0370-PPS-0041	Pump Feed Moly Fourth Cleaner Column
101200183	PM01	4M Maint Press Filter Cu Concentrate	OUTF2501	6	0420-FLA-0003	Press Filter Cu Concentrate Horizontal
101201132	PM01	4Y C/O Pump Delkor Thickener	OUTM2501	6	0510-TMS-0004	Pump Hydraulic
101201908	PM01	3Y C/O Stator Flotation Cell		5	0330-FTR-0003	Stator
101202806	PM01	1Y C/O Dart Valve Connection 160		5	0330-FTA-0008	Dart Valves
101205197	PM01	1Y C/O Throat-Liners-Impeller		5	0330-PPS-0147	Pump Transfer Second Cleaner Concentrate
101206041	PM01	1W Insp Mech Thickeners Concentrate Area	2024W41	6	THICKENING CONC.	Thickening Concentrate
101206185	PM01	2400H C/O Wet-end	2024W48	6	0410-PPS-0123	Pump Components
101206186	PM01	800H C/O Wet-end	2024W41	6	0410-PPS-0124	Pump Components
101206424	PM01	1M Chck Comp Blower Centrifugal Floccul	2024W41	6	0392-ZMF-0004-19	Blower Components
101206507	PM01	4M Svce Lube Press Filter Cu Concentrate	OUTF2501	6	0420-FLA-0002	Press Filter Cu Concentrate Horizontal
101206508	PM01	4M Svce Lube Press Filter Cu Concentrate	OUTF2501	6	0420-FLA-0003	Press Filter Cu Concentrate Horizontal
101206509	PM01	4M Svce Lube Press Filter Cu Concentrate	OUTF2501	6	0420-FLA-0004	Press Filter Cu Concentrate Horizontal
101207310	PM01	6M C/O Sleeve 18in Pinch Valve 9352	2024W43	6	0510-TKF-0026	Thickener Tailings 1
101207574	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0082	Wet End
101207575	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0082	Piping & Valving
101207580	PM01	6M C/O Pump Repair Kit FM	2024W48	5	0392-PPD-0044	Wet End
101207581	PM01	6M C/O Pump Bladder Kit	2024W48	5	0392-PPD-0044	Piping & Valving
101207582	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0047	Wet End
101207583	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0047	Piping & Valving
101207584	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0224	Wet End
101207585	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0224	Piping & Valving
101207586	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0056	Piping & Valving
101207587	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0062	Wet End
101207588	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0062	Piping & Valving
101207589	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0065	Wet End
101207590	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0065	Piping & Valving
101207591	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0115	Wet End
101207592	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0115	Piping & Valving
101207593	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0118	Wet End
101207594	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0118	Piping & Valving
101208481	PM01	5Y C/O Mech Bolts Support Feedwell	OUTM2501	6		Feed Well
101208482	PM01	5Y C/O Mech Bolts Drop Box Feed	OUTM2501	6		Drop Box
101208484	PM01	5Y C/O Mech Bolts Scraper	OUTM2501	6	510-TKF-0026	Structure
101208485	PM01	5Y C/O Mech Tie Rod Long Rake	OUTM2501	6	510-TKF-0026	Rakes
101208486	PM01	5Y C/O Mech Assembly Bolts Long Rake	OUTM2501	6	510-TKF-0026	Rakes
101208487	PM01	5Y C/O Mech Tie Rod Short Rake	OUTM2501	6	510-TKF-0026	Rakes
101208488	PM01	5Y C/O Mech Assembly Bolts Short Rake	OUTM2501	6	510-TKF-0026	Rakes
101208489	PM01	5Y C/O Mech Tie Rod Quadrature Rake	OUTM2501	6	510-TKF-0026	Rakes
101208490	PM01	5Y C/O Mech Blades Support Bolts	OUTM2501	6	510-TKF-0026	Rakes
101208491	PM01	5Y C/O Mech Bolts Support Feedwell	OUTM2501	6		Feed Well
101208492	PM01	5Y C/O Mech Bolts Drop Box Feed	OUTM2501	6		Drop Box
101208493	PM01	5Y C/O Mech Bolts Torque Cage	OUTM2501	6	510-TKF-0027	Structure
101208494	PM01	5Y C/O Mech Bolts Scraper	OUTM2501	6	510-TKF-0027	Structure
101208495	PM01	5Y C/O Mech Assembly Bolts Long Rake	OUTM2501	6	510-TKF-0027	Rakes
101208496	PM01	5Y C/O Mech Blades Support Bolts	OUTM2501	6	510-TKF-0027	Rakes
101209360	PM01	1M Insp Dust Collector System	2024W48	5	0392-DCB-0016	Dust Collector System Xanthate
101209693	PM01	1Y C/O Plate Filter MPH	OUTF2502	6	0420-FLA-0003	Filter Plates
101209694	PM01	1Y C/O Filter Plate FPH	OUTF2502	6	0420-FLA-0003	Filter Plates
101209695	PM01	1Y C/O Plate Filter Complete	OUTF2502	6	0420-FLA-0003	Filter Plates
101209733	PM01	1M C/O Hose Conc Pump	2024W46	6	0370-PPD-0229	Wet End
101209734	PM01	1M C/O Hose Conc Pump		6	0370-PPD-0229	Wet End
101210058	PM01	2M Chck/Reg Pump Overflow Concentrate		6	0340-PPC-0063	Pump Overflow Concentrate Thickener
101210782	PM01	7Y C/O Gear Box Thickener		6	0410-TMS-0006	Gearbox 1
101210915	PM01	3Y C/O Throat-Liners-Impeller		5	0330-PPS-0009	Pump Rougher Concentrate Mill Product
101212081	PM01	3M Chck & Regul Pump Feed Filter Press		6	0420-PPS-0073	Pump System
101212084	PM01	600H C/O Wet-end		6	0340-PPS-0026	Pump Components
101212410	PM01	4M Chck Syst & Comp Cvy Belt Filter Cake	OUTF2501	6	0420-CVB-0024	Conveyor Belt Filter Cake Discharge
101212518	PM01	6M C/O Vortex Ciclon		5	0330-CSC-0005	Cyclone Cluster Rougher Concentrate Re
101212664	PM01	3M C/O Filter Blower		5	0330-CPB-0001	Blower Components
101212665	PM01	2M C/O Idlers		6	0430-CVB-0027	Idlers
101213328	PM01	5Y C/O Pump Hydraulic Low pressure		6	0420-FLA-0002	Pump Hydraulic 1
101213768	PM01	1Y C/O Plate Filter MPH	OUTF2503	6	0420-FLA-0004	Filter Plates
101213769	PM01	1Y C/O Filter Plate FPH	OUTF2503	6	0420-FLA-0004	Filter Plates
101213770	PM01	1Y C/O Plate Membrane Complete Filter	OUTF2503	6	0420-FLA-0004	Filter Plates
101213771	PM01	1Y C/O Plate Filter Complete	OUTF2503	6	0420-FLA-0004	Filter Plates
101214022	PM01	7Y C/O Mech Filter Rails Slide	OUTF2501	6	0420-FLA-0003	Frame
101214023	PM01	7Y C/O Mech Filter Rails Slide	OUTF2601	6	0420-FLA-0002	Frame
101214027	PM01	1Y C/O Valve Cloth Washer Filter Moly	OUTY2601	6	0370-FLA-0001	Piping & Valving
101214028	PM01	1Y C/O Valve Wash Flood Wash Filter Mo	OUTY2502	6	0370-FLA-0001	Piping & Valving
101214029	PM01	1Y C/O Valve Check Feed Water / Air	OUTY2501	6	0370-FLA-0001	Piping & Valving
101214032	PM01	1Y C/O Valve Plug Filter Moly	OUTY2601	6	0370-FLA-0001	Piping & Valving
101214033	PM01	1Y C/O Valve Slurry Return Filter Moly	OUTY2501	6	0370-FLA-0001	Piping & Valving
101214034	PM01	6M C/O Valve Core Blow Return Filter Mo	OUTY2501	6	0370-FLA-0001	Piping & Valving
101214035	PM01	6M C/O Valve Slurry Feed Filter Moly	OUTY2501	6	0370-FLA-0001	Piping & Valving
101214036	PM01	6M C/O Valve Slurry Recir. Filter Moly	OUTY2501	6	0370-FLA-0001	Piping & Valving
101214037	PM01	3Y C/O Ball Bearing Drip Tray Filter Mo	OUTY2502	6	0370-FLA-0001	Structure
101214038	PM01	5Y C/O Pump Piston High Pressure	OUTY2601	6		Pumps Hydraulic
101214039	PM01	5Y C/O Mech Filter Shaker Vibration	OUTY2501	6		Shaker Mechanism
101214400	PM01	3Y C/O Plate Filter Head	OUTY2601	6		Placa Cabezal Fijo
101214401	PM01	3Y C/O Plate Filter Follower	OUTY2601	6		Placa Cabezal Mævil
101214402	PM01	3Y C/O Plate Membrane Complete Filter	OUTY2601	6		Placa Membrana
101214403	PM01	3Y C/O Plate Filter Complete	OUTY2601	6		Placa Filtrante
101214405	PM01	5Y C/O Hydraulic Cylinder Drip Tray	OUTY2601	6		Closing Cylinder
101214406	PM01	3Y C/O Mech Spray Nozzle	OUTY2501	6	0370-FLA-0001	Piping & Valving
101214407	PM01	5Y C/O Oil Cooler Filter Moly	OUTY2601	6		Hydraulic Press Unit
101214408	PM01	6M C/O Hydraulic Oil Filter	OUTY2501	6		Hydraulic Press Unit
101214409	PM01	5Y C/O Mech Filter Rails Slide	OUTY2501	6	0370-FLA-0001	Structure
101214706	PM01	5Y C/O Mech Tie Rod Long Rake	OUTM2505	6	510-TKF-0027	Rakes
101214707	PM01	5Y C/O Mech Tie Rod Short Rake	OUTM2505	6	510-TKF-0027	Rakes
101214709	PM01	5Y C/O Mech Tie Rod Quadrature Rake	OUTM2505	6	510-TKF-0027	Rakes
101214711	PM01	5Y C/O Mech Bolts Torque Cage	OUTM2505	6	0340-TKF-0001	Structure
101214713	PM01	5Y C/O Mech Bolts Scraper	OUTM2505	6	0340-TKF-0001	Structure
101214714	PM01	5Y C/O Mech Assembly Bolts Long Rake	OUTM2505	6	0340-TKF-0001	Rakes
101214715	PM01	5Y C/O Mech Blades Support Bolts	OUTM2505	6	0340-TKF-0001	Rakes
101215053	PM01	4Y C/O Draft Tube Flotation Cell	OUTM2408	5	0330-FTR-0011	Draft Tube
101215333	PM01	2Y C/O Bearing Housing 160	OUTM2501	5	0330-FTA-0010	Agitator Components
101216929	PM01	6M Chck Internal Cyclone Cluster	OUTM2501	5	0330-CSC-0005	Cyclone Cluster Rougher Concentrate Re
101217026	PM01	5Y C/O Mech Motor Hydraulic	OUTM2501	6	0510-TMS-0004	Motor Hydraulic 1
101217027	PM01	5Y C/O Mech Motor Hydraulic	OUTM2501	6	0510-TMS-0004	Motor Hydraulic 2
101217028	PM01	5Y C/O Mech Motor Hydraulic	OUTM2501	6	0510-TMS-0004	Motor Hydraulic 3
101217029	PM01	5Y C/O Mech Motor Hydraulic	OUTM2501	6	0510-TMS-0004	Motor Hydraulic 4
101217030	PM01	5Y C/O Mech Motor Hydraulic	OUTM2501	6	0510-TMS-0004	Motor Hydraulic 5
101217031	PM01	5Y C/O Mech Motor Hydraulic	OUTM2501	6	0510-TMS-0004	Motor Hydraulic 6
101217032	PM01	5Y C/O Mech Motor Hydraulic	OUTM2501	6	0510-TMS-0004	Motor Hydraulic 7
101217033	PM01	5Y C/O Mech Motor Hydraulic	OUTM2501	6	0510-TMS-0004	Motor Hydraulic 8
101217034	PM01	8Y C/O Mech Hyd Direcionalt Valve	OUTM2501	6	0510-TMS-0004	Valves
101217035	PM01	5Y C/O Mech Assembly Bolts Short Rake	OUTM2501	6	510-TKF-0027	Rakes
101217382	PM01	5Y C/O Mech Discharge Hydr Cylinders	OUTF2501	6	0420-FLA-0004	Hydraulic Components
101217765	PM01	800H C/O Wet-end	2024W48	6	0410-PPS-0124	Pump Components
101218090	PM01	2Y C/O Pump Assembly		6	0551-PPV-0075	Pump System
101218922	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0074	Wet End
101218923	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0074	Piping & Valving
101218924	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0083	Wet End
101218925	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0083	Piping & Valving
101218926	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0227	Wet End
101218927	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0227	Piping & Valving
101218928	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0045	Wet End
101218929	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0045	Piping & Valving
101218930	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0225	Wet End
101218931	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0225	Piping & Valving
101218932	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0063	Wet End
101218933	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0063	Piping & Valving
101218934	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0116	Wet End
101218935	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0116	Piping & Valving
101219103	PM01	6M C/O Sleeve 18in Pinch Valve 9352	PROC	6	0510-TKF-0026	Thickener Tailings 1
101219449	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0077	Wet End
101219450	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0077	Piping & Valving
101219451	PM01	6M C/O Pump Repair Kit FM	2024W48	5	0392-PPD-0037	Wet End
101219452	PM01	6M C/O Pump Bladder Kit	2024W48	5	0392-PPD-0039	Piping & Valving
101219453	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0048	Wet End
101219454	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0048	Piping & Valving
101219455	PM01	6M C/O Pump Bladder Kit	2024W48	5	0392-PPD-0057	Piping & Valving
101219456	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0066	Wet End
101219457	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0066	Piping & Valving
101219458	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0119	Wet End
101219459	PM01	6M C/O Pump Bladder Kit		5	0392-PPD-0119	Piping & Valving
101219831	PM01	6M C/O Sleeve 18in Pinch Valve 9452		6	0510-TKF-0027	Thickener Tailings 2
101219832	PM01	6M C/O Sleeve 18in Pinch Valve 9452		6	0510-TKF-0027	Thickener Tailings 2
101219833	PM01	6M C/O Sleeve 18in Pinch Valve 9452		6	0510-TKF-0027	Thickener Tailings 2
101219834	PM01	6M C/O Sleeve 18in Pinch Valve 9452		6	0510-TKF-0027	Thickener Tailings 2
101219835	PM01	6M C/O Sleeve 18in Pinch Valve 9452		6	0510-TKF-0027	Thickener Tailings 2
101219845	PM01	6M C/O Sleeve 18in Pinch Valve 9342		6	0510-TKF-0026	Thickener Tailings 1
101220540	PM01	4M Insp Mech Discharge & Suction Valves	OUTM2501	6	0420-PPS-0074	Valve
101221709	PM01	6M C/O Pump Repair Kit FM	2024W48	5	0392-PPD-0039	Wet End
101222129	PM01	1M Chck Syst & Comp Dust Collec Lime Bin	PROC-P	5	0391-ZMB-0001-07	Dust Collector Lime Bin
101222515	PM01	2M C/O Sleeve 18in Pinch Valve 9452		6	0510-TKF-0027	Thickener Tailings 2
101222741	PM01	4Y C/O Mech Cone Velocity	OUTM2501	5	0330-FTR-0013	Cone Velocity
101222742	PM01	4Y C/O Mech Bottom False	OUTM2501	5	0330-FTR-0013	Bottom False
101222865	PM01	3Y C/O Stator 160 Cell	OUTM2501	5	0330-FTA-0001	Stator
101222866	PM01	3Y C/O Stator 160 Cell	OUTM2501	5	0330-FTA-0005	Stator
101222867	PM01	2Y C/O Bearing Housing 100		5	0330-FTA-0016	Agitator Components
101222868	PM01	2Y C/O Bearing Housing 100	OUTM2501	5	0330-FTA-0015	Agitator Components
