Order	Order Type	Description	Revision	Main work center	Sort field	Description of functional location
100906163	PM01	4Y C/O Mech Cyclone Cluster Feed Pipe		5		Cyclone Feed Piping
100954953	PM01	5Y C/O Reducer Vertical Cell		5	0330-FTR-0006	Vertical Gear Reducer
100974052	PM01	6M C/O Mech Discharge Hose		5	0330-PPR-0017	Piping & Valving
100991965	PM01	3Y C/O Rotor Flotation Cell	OUTM2401	5	0330-FTR-0001	Rotor
101035462	PM01	3Y C/O Rotor Flotation Cell	OUTM2504	5	0330-FTR-0007	Rotor
101035463	PM01	3Y C/O Stator Flotation Cell	OUTM2504	5	0330-FTR-0005	Stator
101035464	PM01	3Y C/O Stator Flotation Cell	OUTM2504	5	0330-FTR-0007	Stator
101035465	PM01	3Y C/O Rotor Cell		5	0330-FTR-0002	Rotor
101035466	PM01	3Y C/O Rotor Cell		5	0330-FTR-0009	Rotor
101035468	PM01	3Y C/O Rotor Cell		5	0330-FTR-0011	Rotor
101035469	PM01	3Y C/O Rotor Cell		5	0330-FTR-0012	Rotor
101035470	PM01	3Y C/O Rotor Cell		5	0330-FTR-0004	Rotor
101036396	PM01	3Y C/O Rotor Cell		5	0330-FTR-0015	Rotor
101036397	PM01	3Y C/O Rotor Cell		5	0330-FTR-0017	Rotor
101036399	PM01	3Y C/O Rotor Cell		5	0330-FTR-0006	Rotor
101036400	PM01	3Y C/O Rotor Cell		5	0330-FTR-0019	Rotor
101036401	PM01	3Y C/O Rotor Cell		5	0330-FTR-0020	Rotor
101044535	PM01	2Y C/O Mech Filter Plates Links Sup.	OUTF2601	6	0420-FLA-0002	Filter Plates
101044536	PM01	2Y C/O Mech Filter Plates Blocks Sup.	OUTF2601	6	0420-FLA-0002	Filter Plates
101044537	PM01	2Y C/O Mech Filter Plates Links Inf.	OUTF2502	6	0420-FLA-0003	Filter Plates
101044538	PM01	2Y C/O Mech Filter Plates Blocks Inf.	OUTF2502	6	0420-FLA-0003	Filter Plates
101044539	PM01	4Y C/O Mech Filter Wheels MPH	OUTF2403	6	0420-FLA-0002	Frame
101044660	PM01	3Y C/O Mech Filter Isolator Vibration	OUTF2602	6	0420-FLA-0002	Frame
101046886	PM01	2Y Pump Assembly	PROC-P	6	0510-PPC-0131	Pump System
101046887	PM01	2Y Pump Assembly		6	0510-PPC-0132	Pump System
101062532	PM01	4Y C/O Draft Tube Flotation Cell		5		Draft Tube
101062534	PM01	4Y C/O Mech Cone Velocity	OUTM2503	5	0330-FTR-0010	Cone Velocity
101063193	PM01	4Y C/O Draft Tube Flotation Cell	OUTM2505	5	0330-FTR-0010	Draft Tube
101065688	PM01	4Y C/O Mech Bottom False	OUTM2504	5	0330-FTR-0019	Bottom False
101065689	PM01	4Y C/O Mech Bottom False	OUTM2502	5	0330-FTR-0021	Bottom False
101065690	PM01	4Y C/O Mech Bottom False	OUTM2504	5	0330-FTR-0022	Bottom False
101068696	PM01	4Y C/O Mech Cone Velocity	OUTM2503	5	0330-FTR-0018	Cone Velocity
101082751	PM01	2Y Pump Assembly	PROC-P	6	0510-PPC-0130	Pump System
101085047	PM01	5Y C/O Mech Driven Pulley	OUTM2505	5	0330-FTA-0005	Drive Components
101086763	PM01	3Y C/O Disperser Cell	PROC-P	5	0330-FTR-0028	Disperser
101087279	PM01	3M Insp Feed Cells Flotation Rougher	OUTM2401	5	0330-STP-0025	Structure
101087344	PM01	3M Insp Rougher Flotation Cells	OUTM2402	5	RSFL004	Flot Rougher & Rougher Scav Row 4
101088896	PM01	6M Chck Syst & Comp FE/Moly Roug Row 1/2	OUTY2402	6	MOFL002	Feed Moly Rougher Row 1 & 2
101088898	PM01	6M Chck Syst & Comp Flot Moly Clner Scvg	OUTY2402	6	MOSC001	Flotation Moly Cleaner Scavenger
101093337	PM01	1Y C/O Bearing Assembly Pump		6	0420-PPS-0073	Bearing Assembly
101096024	PM01	4Y C/O Draft Tube Flotation Cell		5	0330-FTR-0017	Draft Tube
101096025	PM01	4Y C/O Draft Tube Flotation Cell		5	0330-FTR-0018	Draft Tube
101096029	PM01	3Y C/O Rotor Flotation Cell		5	0330-FTA-0011	Rotor
101096030	PM01	3Y C/O Stator 100 Cell	OUTM2501	5	0330-FTA-0011	Stator
101096031	PM01	3Y C/O Rotor Flotation Cell 70	OUTM2501	5	0330-FTA-0017	Rotor
101096032	PM01	3Y C/O Stator 70 Cell		5	0330-FTA-0017	Stator
101096038	PM01	4Y C/O Mech Cone Velocity		5	0330-FTR-0017	Cone Velocity
101096039	PM01	4Y C/O Mech Cone Velocity		5	0330-FTR-0027	Cone Velocity
101096040	PM01	4Y C/O Mech Cone Velocity	OUTM2503	5	0330-FTR-0028	Cone Velocity
101096041	PM01	4Y C/O Mech Bottom False		5	0330-FTR-0012	Bottom False
101096635	PM01	3Y C/O Rotor 160 Cell		5	0330-FTA-0007	Rotor
101096636	PM01	3Y C/O Stator 160 Cell	OUTM2601	5	0330-FTA-0007	Stator
101104426	PM01	3Y C/O Disperser Cell	OUTM2407	5	0330-FTR-0015	Disperser
101109670	PM01	3M Insp Rougher Flotation Cells	OUTM2405	5	RSFL001	Flot Rougher & Rougher Scav Row 1
101109677	PM01	6M Chck Syst & Comp Thickener Tailings	OUTM2405	6	0510-TKF-0026	Thickener Tailings 1
101111665	PM01	1Y C/O Plate Filter MPH	OUTF2501	6	0420-FLA-0002	Filter Plates
101111666	PM01	1Y C/O Filter Plate FPH	OUTF2501	6	0420-FLA-0002	Filter Plates
101111667	PM01	1Y C/O Plate Membrane Complete Filter	OUTF2501	6	0420-FLA-0002	Filter Plates
101111668	PM01	1Y C/O Plate Filter Complete	OUTF2501	6	0420-FLA-0002	Filter Plates
101116571	PM01	3Y C/O Rotor Flotation Cell	OUTM2608	5	0330-FTR-0005	Rotor
101116983	PM01	4Y C/O Draft Tube Flotation Cell	OUTM2501	5	0330-FTR-0012	Draft Tube
101116985	PM01	4Y C/O Draft Tube Flotation Cell	OUTM2504	5		Draft Tube
101116986	PM01	4Y C/O Mech Cone Velocity	OUTM2505	5	0330-FTR-0011	Cone Velocity
101116987	PM01	4Y C/O Mech Cone Velocity	OUTM2504	5	0330-FTR-0019	Cone Velocity
101116988	PM01	4Y C/O Mech Cone Velocity	OUTM2506	5	0330-FTR-0020	Cone Velocity
101116989	PM01	3Y C/O Rotor Cell	OUTM2505	5	0330-FTA-0003	Rotor
101116990	PM01	3Y C/O Rotor 160 Cell	OUTM2505	5	0330-FTA-0002	Rotor
101116992	PM01	3Y C/O Rotor 160 Cell	OUTM2501	5	0330-FTA-0010	Rotor
101116993	PM01	3Y C/O Rotor Flotation Cell	OUTM2501	5	0330-FTA-0015	Rotor
101116994	PM01	3Y C/O Stator 160 Cell	OUTM2505	5	0330-FTA-0009	Stator
101116995	PM01	3Y C/O Stator 160 Cell	OUTM2501	5	0330-FTA-0010	Stator
101116997	PM01	3Y C/O Stator 100 Cell	OUTM2505	5	0330-FTA-0016	Stator
101116998	PM01	3Y C/O Stator 70 Cell	OUTM2501	5	0330-FTA-0020	Stator
101116999	PM01	3Y C/O Rotor Flotation Cell 70	OUTM2603	5	0330-FTA-0019	Rotor
101117001	PM01	4Y C/O Distributor Cyclone Cluster	OUTM2505	5	0330-CSC-0005	Distributor Rougher Regrind
101117002	PM01	5Y C/O Mech Pump Lube Recirculation	OUTM2505	6	0340-TMS-0001	Pump Lube Recirculation
101117009	PM01	6Y C/O Mech Hydraulic Lift Cylinders	OUTM2501	6	0410-TMS-0006	Hydraulic Cylinder 1
101117010	PM01	6Y C/O Mech Hydraulic Lift Cylinders	OUTM2501	6	0410-TMS-0006	Hydraulic Cylinder 2
101117011	PM01	6Y C/O Mech Hydraulic Lift Cylinders	OUTM2501	6	0410-TMS-0006	Hydraulic Cylinder 3
101117012	PM01	6Y C/O Mech Hydraulic Lift Cylinders	OUTM2501	6	0410-TMS-0006	Hydraulic Cylinder 4
101117017	PM01	4Y C/O Pump Thickener	OUTM2501	6	0410-TMS-0006	Pump Hydraulic
101117018	PM01	5Y C/O Mech Pump Lube Recirculation	OUTM2501	6	0410-TMS-0006	Pump Lube Recirculation
101117019	PM01	5Y C/O Mech Pump Hydraulic Lift	OUTM2501	6	0410-TMS-0006	Pump Hydraulic Lift
101117042	PM01	6Y C/O Hydraulic Cylinder Thickener	OUTM2501	6	0510-TMS-0004	Hydraulic Cylinder 1
101117043	PM01	6Y C/O Hydraulic Cylinder Thickener	OUTM2501	6	0510-TMS-0004	Hydraulic Cylinder 2
101117044	PM01	6Y C/O Hydraulic Cylinder Thickener	OUTM2501	6	0510-TMS-0004	Hydraulic Cylinder 3
101117045	PM01	6Y C/O Hydraulic Cylinder Thickener	OUTM2501	6	0510-TMS-0004	Hydraulic Cylinder 4
101117046	PM01	5Y C/O Mech Pump Lube Recirculation	OUTM2501	6	0510-TMS-0004	Pump Lube Recirculation
101117047	PM01	5Y C/O Mech Pump Hydraulic Lift	OUTM2501	6	0510-TMS-0004	Pump Hydraulic Lift
101117052	PM01	5Y C/O Mech Pump Lube Recirculation	OUTM2506	6	0510-TMS-0005	Pump Lube Recirculation
101117054	PM01	6Y C/O Mech Hyd Rake Lift Valves	OUTM2501	6	0510-TMS-0004	Valves
101117057	PM01	4Y C/O Mech Bottom False	OUTM2503	5	0330-FTR-0018	Bottom False
101119088	PM01	6M C/O Throatbush		5	0330-PPS-0019	Pump System
101119089	PM01	1Y C/O Throat-Liners-Impeller		5	0330-PPS-0019	Pump Ro-Scavenger Conc Mill Product
101119572	PM01	2Y C/O B. Housing Flotation Cell		5	0330-FTA-0011	Agitator Components
101120940	PM01	2Y C/O Mech Filter Plates Links Sup.	OUTF2602	6	0420-FLA-0003	Filter Plates
101120941	PM01	2Y C/O Mech Filter Plates Blocks Sup.	OUTF2602	6	0420-FLA-0003	Filter Plates
101120946	PM01	2Y C/O Mech Filter Plates Blocks Inf.	OUTF2503	6	0420-FLA-0004	Filter Plates
101120947	PM01	2Y C/O Mech Filter Plates Links Inf.	OUTF2503	6	0420-FLA-0004	Filter Plates
101120949	PM01	3Y C/O Mech Filter Isolator Vibration	OUTF2601	6	0420-FLA-0003	Frame
101120950	PM01	3Y C/O Mech Filter Vibration Damper	OUTF2501	6	0420-FLA-0003	Frame
101122999	PM01	1Y C/O Throat-Liners-Impeller		5	0330-PPS-0020	Pump Ro-Scavenger Conc Mill Product
101123964	PM01	1Y C/O Plate Membrane Complete Filter	OUTF2502	6	0420-FLA-0003	Filter Plates
101125409	PM01	5Y C/O Mech Driving Pulley	OUTM2501	5	0330-FTA-0005	Drive Components
101125410	PM01	5Y C/O Mech Driving Pulley	OUTM2501	5	0330-FTA-0006	Drive Components
101128610	PM01	4Y C/O Mech Bottom False		5	0330-FTR-0015	Bottom False
101130408	PM01	2Y C/O B. Housing Flotation Cell 70	OUTM2501	5	0330-FTA-0017	Agitator Components
101130597	PM01	2Y C/O B. Housing Flotation Cell 70	OUTM2405	5	0330-FTA-0022	Agitator Components
101130598	PM01	3Y C/O Rotor Flotation Cell 70	OUTM2405	5	0330-FTA-0022	Rotor
101133394	PM01	3M Chck & Regul Pump Feed Filter Press		6	0420-PPS-0074	Pump System
101141714	PM01	2Y C/O Bearing Housing 160		5	0330-FTA-0002	Agitator Components
101142489	PM01	3Y C/O Rotor Cell	PROC-P	5	0330-FTR-0025	Rotor
101143732	PM01	3Y C/O Rotor Cell	2024W17	5	0330-FTR-0027	Rotor
101150470	PM01	3Y C/O Disperser Cell	2024W20	5	0330-FTR-0013	Disperser
101151917	PM01	3Y C/O Rotor Cell	2024W26	5	0330-FTA-0006	Rotor
101152338	PM01	6M C/O Throatbush		5	0330-PPS-0006	Pump Rougher Concentrate Cyclone Feed
101152416	PM01	2Y C/O Bearing Housing 160		5	0330-FTA-0007	Agitator Components
101153422	PM01	6M C/O Pump	2024W37	5	0330-PPR-0049	Pump System
101154545	PM01	1M C/O Hose Conc Pump	2024W46	6	0370-PPD-0230	Wet End
101154547	PM01	6M C/O Sleeve Conc Pump	2024W46	6	0370-PPD-0229	Wet End
101154548	PM01	1Y C/O Shoe Cast Iron Pump		6	0370-PPD-0229	Wet End
101154549	PM01	6M C/O Sleeve Conc Pump	2024W46	6	0370-PPD-0230	Wet End
101154550	PM01	1Y C/O Shoe Cast Iron Pump		6	0370-PPD-0230	Wet End
101154551	PM01	2Y C/O Gearbox Helical ALXH65		6	0370-PPD-0230	Drive System
101154552	PM01	5Y C/O Gear Box Pump		5	0330-PPS-0021	Gearbox
101154679	PM01	5Y C/O Gear Box Pump	PROC-P	5	0330-PPS-0148	Gearbox
101155959	PM01	1Y C/O Pump Prominent		6	0370-PPD-0001	Pump Metering NaHS
101159635	PM01	3Y C/O Disperser Cell	PROC-P	5	0330-FTR-0009	Disperser
101160193	PM01	6M Change Out Transmition V-Belt		5	0330-FTA-0022	Drive System
101160930	PM01	6M C/O Pump Repair Kit FM	2024W48	5	0392-PPD-0057	Wet End
101160931	PM01	6M C/O Pump Repair Kit FM		5	0392-PPD-0058	Wet End
101161472	PM01	4Y C/O Mech Filter Wheels MPH	OUTF2501	6	0420-FLA-0003	Frame
101162131	PM01	2Y C/O Pump Prominent		5	0392-PPD-0040	Wet End
101162132	PM01	2Y C/O Pump Prominent		5	0392-PPD-0073	Wet End
101162133	PM01	2Y C/O Pump Prominent		5	0392-PPD-0226	Wet End
101162134	PM01	2Y C/O Pump Prominent		5	0392-PPD-0115	Wet End
101162135	PM01	2Y C/O Pump Prominent		5	0392-PPD-0224	Wet End
101162136	PM01	2Y C/O Pump Prominent		5	0392-PPD-0062	Wet End
101162501	PM01	4Y C/O Mech Cone Velocity	OUTM2601	5	0330-FTR-0012	Cone Velocity
101162632	PM01	2Y C/O Pump Assembly		6	0552-PPC-0144	Wet End
101162633	PM01	2Y C/O Pump Assembly		7	0552-PPC-0145	Wet End
101162634	PM01	2Y C/O Pump Assembly		6	0552-PPC-0146	Wet End
101162635	PM01	2Y C/O Pump Assembly		6	0510-PPC-0129	Pump System
101162820	PM01	3Y C/O Stator 70 Cell		5	0330-FTA-0018	Stator
101163158	PM01	4Y C/O Valve Discharge Tank H2SO4		6	0370-TKS-0004	Piping & Valving
101163282	PM01	6M C/O Mech Hydraulic Power Unit Oil		6	0510-TMS-0004	Tank
101163283	PM01	6M C/O Mech Hydraulic Power Unit Oil		6	0510-TMS-0005	Tank
101165035	PM01	6M C/O Throatbush	2024W29	5	0330-PPS-0144	Pump Transfer First Cleaner Concentrate
101165413	PM01	6M C/O Throatbush	2024W33	5	0330-PPS-0012	Pump Feed Cycln Concntrt Rgher Scavngr 1
101165811	PM01	3Y C/O Mech Filter Isolator Vibration	OUTF2603	6	0420-FLA-0004	Frame
101165812	PM01	3Y C/O Mech Filter Vibration Damper	OUTF2503	6	0420-FLA-0004	Frame
101168361	PM01	1Y C/O Pads	OUTM2501	6	0410-TKF-0032	Rakes
101168362	PM01	1Y C/O Pads	OUTM2601	6	0410-TKF-0032	Rakes
101168363	PM01	1Y C/O Pads	OUTM2505	6	0340-TKF-0001	Rakes
101168364	PM01	6M C/O Pads Thickener TKF-26	OUTM2501	6	510-TKF-0026	Rakes
101168365	PM01	6M C/O Pads Thickener TKF-26	OUTM2505	6	510-TKF-0026	Rakes
101168366	PM01	6M C/O Pads Thickener TKF-27	OUTM2502	6	510-TKF-0027	Rakes
